키워드,언론사,기사명,날짜,URL
경인일보,코로나 확진자 2564명 '일주일 연속 요일 최다'… 거리두기 연장되나,2021-10-01,http://www.kyeongin.com/main/view.php?key=20210930010004957,해외 코로나 현황
쿠키뉴스,코로나19 신규확진 2564명… 86일째 네자릿수 기록,2021-10-01,http://www.kukinews.com/newsView/kuk202109300038,해외 코로나 현황
CBC뉴스,"[코로나19 발생현황] 9월 30일 0시 기준, 신규 확진자 2,564명",2021-10-01,http://www.cbci.co.kr/news/articleView.html?idxno=419632,해외 코로나 현황
메디컬월드뉴스,10월 4일 0시 기준 국내 주요 지역 권역별 코로나19 집단감염 발생현황은?,2021-10-05,http://medicalworldnews.co.kr/news/view.php?idx=1510945192,해외 코로나 현황
뉴스웍스,[코로나 현황] 신규 확진자 2885명…역대 두 번째 최다 기록,2021-09-30,http://www.newsworks.co.kr/news/articleView.html?idxno=573239,해외 코로나 현황
뉴스포스트,[코로나 그래픽] 신규 확진 이틀째 1천명대,2021-10-06,http://www.newspost.kr/news/articleView.html?idxno=94706,해외 코로나 현황
시사매거진,"9월 30일, 서울시 코로나19 발생 현황",2021-10-02,http://www.sisamagazine.co.kr/news/articleView.html?idxno=404901,해외 코로나 현황
글로벌경제,"[코로나19 발생현황] 신규 확진자 2486명, 유행 이후 5번째 규모... 치명률 0...",2021-10-02,http://www.getnews.co.kr/news/articleView.html?idxno=552637,해외 코로나 현황
머니투데이,"코로나 검사만 5번…""그래도 사이판 바다는 좋았어요""",13면 1단,http://news.mt.co.kr/mtview.php?no=2021092414073946831,해외 코로나 현황
메디컬월드뉴스,"코로나19 안전신고 개통 후 신고된 내용 중 과태료 부과 362건, 고발 193건",2021-10-06,http://medicalworldnews.co.kr/news/view.php?idx=1510945229,해외 코로나 현황
경북신문,[전문] 대구 `코로나19` 확진자 85명...외국인 집단감염만 44명,2021-10-02,http://www.kbsm.net/default/index_view_page.php?idx=324978&part_idx=320,해외 코로나 현황
경북신문,[전문] 대구 `코로나19` 확진자 58명 확진,2021-10-04,http://www.kbsm.net/default/index_view_page.php?idx=324994&part_idx=320,해외 코로나 현황
뉴스1,[그래픽] 코로나19 확진자 지역별 현황(27일),2021.09.27.,https://www.news1.kr/photos/view/?4987904,해외 코로나 현황
민중의소리,코로나19 신규 확진자 2771명...치명률은 0.81%,2021.09.26.,https://www.vop.co.kr/A00001598744.html,해외 코로나 현황
KOTRA해외시장뉴스,베트남 외국인직접투자 현황과 반등을 위한 방역정책 방향,2021-09-30,http://news.kotra.or.kr/user/extra/kotranews/bbs/linkView/jsp/Page.do?dataIdx=190876,해외 코로나 현황
글로벌경제,"[코로나19 발생현황] 신규 확진자 2885명, 두번째 큰 규모... 치명률 0.80%",2021-09-30,http://www.getnews.co.kr/news/articleView.html?idxno=552275,해외 코로나 현황
노컷뉴스,코로나19 신규확진 2564명·1주째 '요일 최다'…거리두기 재연장 가닥(종합),2021-10-01,https://www.nocutnews.co.kr/news/5632050,해외 코로나 현황
이투데이,[종합] 코로나 확진자 2000명대 6일째 지속…꺾이지 않는 수도권 확산세,2021-10-02,https://www.etoday.co.kr/news/view/2065991,해외 코로나 현황
노컷뉴스,코로나19 신규확진 2434명·역대 최다치…'추석 후폭풍' 현실화(종합),2021.09.24.,https://www.nocutnews.co.kr/news/5628865,해외 코로나 현황
시사매거진,"9월 29일, 서울시 코로나19 발생 현황",2021-10-01,http://www.sisamagazine.co.kr/news/articleView.html?idxno=404581,해외 코로나 현황
글로벌경제,"[코로나19 발생현황] 신규 확진자 2564명, 1주일 연속 '요일 최다'… 치명률 ...",2021-10-01,http://www.getnews.co.kr/news/articleView.html?idxno=552458,해외 코로나 현황
글로벌경제,"[코로나19 발생현황] 신규 확진자 2086명, 주말 두번째 규모…치명률 0.79%",2021-10-04,http://www.getnews.co.kr/news/articleView.html?idxno=552878,해외 코로나 현황
메디소비자뉴스,토종 코로나백신ㆍ치료제 개발에 5265억원 쏜다,2021-10-01,http://www.medisobizanews.com/news/articleView.html?idxno=81762,해외 코로나 현황
메디컬월드뉴스,"10월 5일 주요 시도별 코로나19 발생 현황은?…국내 신규 확진자 1,575명, 총...",2021-10-06,http://medicalworldnews.co.kr/news/view.php?idx=1510945208,해외 코로나 현황
뉴스프리존,"[국내 코로나19 현황] 21시기준 23명 늘어나 다시 2천명대, 2101명 발생",2021-10-07,http://www.newsfreezone.co.kr/news/articleView.html?idxno=339131,해외 코로나 현황
뉴스1,[그래픽] 코로나19 확진자 지역별 현황(29일),2021-09-30,https://www.news1.kr/photos/view/?4991811,해외 코로나 현황
노컷뉴스,코로나19 신규확진 2289명…월요일 집계기준 '역대 최다' 경신(종합),2021.09.28.,https://www.nocutnews.co.kr/news/5630376,해외 코로나 현황
